node_id,source,source_type,source_url,crawler_version,crawl_id,snapshot_timestamp,snapshot_hash,enrichment_version,aggregate_version,export_version,address,canonical_address,host,port,network,agent,protocol,services,height,continent,region,country,territory,county,city,zip_code,timezone,latitude,longitude,asn,organization,provider,provider_kind,organization_type,network_classification,w3w,zzxgcs,zzxgms,geohash,geohashid,reachable,reachable_now,reachable_24h,reachable_week,reachable_month,latency_ms,uptime_seconds,peer_index,is_ipv4,is_ipv6,is_cjdns,is_tor,is_i2p,is_vpn,is_proxy,is_sanctioned_node,is_policy_restricted_node,suspected_government,suspected_military,suspected_datacenter,suspected_apt_related,suspected_threat_actor_group_related,suspected_known_malicious_actor,apt_attribution_score,apt_attribution_confidence,tag_attribution_score,tag_attribution_confidence,known_malactor_score,known_malactor_confidence,first_seen,last_seen,last_failure,raw_hash
node:38ce299ecc7773ee2a9a7a69,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,130.61.108.100:8333,130.61.108.100:8333,130.61.108.100,8333,ipv4,/Satoshi:31.1.0/,70016,3080,966287,,Hesse,DE,,,Frankfurt am Main (Innenstadt I),,,50.1013,8.62643,AS31898,Oracle Corporation,,,,,,,,,,True,True,True,,,222.28,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,cdde36740d8fb8b2242949ee098a6c95c0bbe6c742f35e00243bc14234542d39
node:81a5a65674e5d3887112e6c1,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,130.61.51.78:8333,130.61.51.78:8333,130.61.51.78,8333,ipv4,/Satoshi:28.1.0/,70016,3080,966287,,Hesse,DE,,,Frankfurt am Main (Innenstadt I),,,50.1013,8.62643,AS31898,Oracle Corporation,,,,,,,,,,True,True,True,,,221.3,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,c7f9fa48b1d2d1ba05193836c7c09352c4a8e1125afaa7e709e02a00f2d01c95
node:eb57fe6186a12e72ba13744a,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,130.94.34.106:8333,130.94.34.106:8333,130.94.34.106,8333,ipv4,/Satoshi:31.1.0/,70016,3080,966287,,Kowloon,HK,,,Hong Kong,,,22.3193,114.169,AS154177,LIGHT NODE LIMITED,,,,,,,,,,True,True,True,,,372.33,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,b12c6ac9af5aaf4f7bc285e3bb9db1e0cb075102e528e9aa34da3b7faeedb94f
node:2fc5cda6d7cb70f42bd10ddb,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,130.94.45.4:8333,130.94.45.4:8333,130.94.45.4,8333,ipv4,/Satoshi:31.1.0/,70016,3080,966287,,Dubai,AE,,,Dubai,,,25.2048,55.2708,AS154177,LIGHT NODE LIMITED,,,,,,,,,,True,True,True,,,378.12,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,8183471b31dfd8310721f4aa035df249e1bb1f59c0198ded6ea209e16bbc1ca9
node:1dcfe58d2c5f8339712a836a,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,131.106.76.202:8333,131.106.76.202:8333,131.106.76.202,8333,ipv4,/Satoshi:29.4.1/Knots:20260508/,70016,268438536,970379,,Pennsylvania,US,,Northampton County,Palmer Heights,,,40.6873,-75.2624,AS6079,RCN,,,,,,,,,,True,True,True,,,87.57,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,18a9f4f19347668491a9bf928b9e1327f3f7bfba2e0833a628feac629c61c7a3
node:74f9f0ec229f603f09d2fb64,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,131.130.126.82:8333,131.130.126.82:8333,131.130.126.82,8333,ipv4,/Satoshi:22.0.0/,70016,1032,966287,,Vienna,AT,,Wien Stadt,Vienna,,,48.2084,16.3678,AS760,Vienna University Computer Center,,,,,,,,,,True,True,True,,,231.51,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,4ec242baf7869fa4cae625f517520363989ce5e9c0bfb0420d0e6cdec5df3421
node:38e93008184b76923ba0cf95,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,131.130.126.92:8333,131.130.126.92:8333,131.130.126.92,8333,ipv4,/Satoshi:24.0.1/,70016,1033,966287,,Vienna,AT,,Wien Stadt,Vienna,,,48.2084,16.3678,AS760,Vienna University Computer Center,,,,,,,,,,True,True,True,,,232.16,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,018081e8d011fb1b72049cd262715dae0149d14e809442f7751ac6ad0668336d
node:36d27e28964d49b5c4ec968b,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,131.150.177.18:8333,131.150.177.18:8333,131.150.177.18,8333,ipv4,/Satoshi:30.0.0/,70016,3081,966287,,Michigan,US,,Marquette County,Negaunee,,,46.5091,-87.6069,AS20115,Charter Communications,,,,,,,,,,True,True,True,,,82.62,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,4dba82613f7e79fe12e9580aff6d7d63179dd489e2a7be4d8865d77f6a13048a
node:c6f58fab46a1ed6ddd1e13a0,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,131.150.200.2:8333,131.150.200.2:8333,131.150.200.2,8333,ipv4,/Satoshi:30.0.0/,70016,3145,966287,,District of Columbia,US,,,Washington D.C.,,,38.9072,-77.0369,AS20115,Charter Communications,,,,,,,,,,True,True,True,,,137.29,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,d4132127d94b034a10002175b0be7b0d9451bd5ed712c890d526290351bc0077
node:92e0608bcf9a929dedf193c8,zzxbitnodes,zzx-enhanced-crawler,,zzxbitnodes-enhanced-v5,,1789000324,c875d2e1b0aa37fec8ea18f2a67346afe80d54395e4ef9f16a54aeb9480a6e49,,,zzx-bitnodes-export-db-v5,131.241.10.110:8333,131.241.10.110:8333,131.241.10.110,8333,ipv4,/Satoshi:0.17.1/,70015,1037,966287,,Ohio,US,,,Cincinnati (Central Business District),,,39.1028,-84.5173,AS6181,Cincinnati Bell Telephone Company LLC,,,,,,,,,,True,True,True,,,25.93,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,1789000300,1789000312,,979cd4e565095900c8339973d3700fec1eefba305a20ebc5166c29929e7657d6
